entity,betweenness
Post Office,0.4164954994783665
Horizon,0.12394929780767668
Fujitsu,0.08866147113148963
Second Sight,0.06246516515347372
Gareth Jenkins,0.062196475121137046
Brian Pinder,0.06046023710485719
Susan Crichton,0.06024677698943775
Ian Henderson,0.045505883421854645
Marine Drive,0.045040163013860296
EPOSS,0.039044504624419434
audit,0.03852243712270012
Misra,0.03280187132956904
Deloitte,0.03156996765601402
Penny Thomas,0.030874664405821674
Vennells,0.030564790390533406
