Source,Target,Weight
bug,defect,4
bug,error,5
bug,Horizon,20
bug,Mark,1
bug,Rod/Leslie,1
bug,Lesley Sewell,2
bug,Post Office,14
bug,Horizon Online,6
bug,Mrs Misra's,1
bug,Legacy Horizon,4
bug,Ms Meadows,1
bug,Ms Sewell,2
bug,Seema Misra,1
bug,Davis,1
bug,Fujitsu,4
bug,Second Sight,6
bug,Falkirk,2
bug,mismatch,5
bug,suspense account,4
bug,NBSC,1
bug,Vennells,2
bug,Alwen Lyons,3
bug,the system,6
bug,shortfall,1
defect,error,4
defect,Horizon,11
defect,Post Office,3
defect,Second Sight,3
defect,Ms Venals,1
defect,James Arbuthnot,1
defect,Horizon Online,2
defect,Legacy Horizon,2
defect,mismatch,1
defect,suspense account,1
error,Horizon,4
error,Post Office,2
error,Second Sight,1
error,Horizon Online,2
error,Legacy Horizon,2
error,mismatch,1
error,suspense account,1
Second Sight,mediation scheme,3
Second Sight,Deloitte,7
Second Sight,Alice Perkins,1
Second Sight,Alwen Lyons,3
Second Sight,Simon Baker,2
Second Sight,Susan Crichton,3
Second Sight,the system,4
Second Sight,Post Office,38
Second Sight,Board,3
Second Sight,Casey,1
Second Sight,Richard Morgan,1
Second Sight,Grant Thornton,1
Second Sight,Kay Lynell,1
Second Sight,Alan Bates,1
Second Sight,Horizon,7
Second Sight,audit,1
Second Sight,the Second Sight Interim Report,2
Second Sight,Ron,1
Second Sight,Vennells,3
Second Sight,Ms Venals,1
Second Sight,Project Spire,1
Second Sight,James Arbuthnot,4
Second Sight,Royal Mail,1
Second Sight,CCRC,1
Second Sight,Fujitsu,2
Second Sight,Wynne,1
Second Sight,the Court of Appeal,1
Second Sight,the Second Sight Review,1
Second Sight,Network,1
mediation scheme,Post Office,2
mediation scheme,MPs,1
mediation scheme,CCRC,1
mediation scheme,Fujitsu,1
mediation scheme,Susan Crichton,1
mediation scheme,Wynne,1
mediation scheme,the Court of Appeal,1
Deloitte,Alice,1
Deloitte,Horizon,2
Deloitte,Ron,1
Deloitte,Vennells,1
Deloitte,audit,2
Deloitte,Project Spire,2
Deloitte,Alice Perkins,1
Deloitte,Alwen Lyons,1
Deloitte,Simon Baker,1
Deloitte,Susan Crichton,1
Deloitte,Post Office,1
Deloitte,the system,1
Lesley Sewell,Simon Baker,1
Lesley Sewell,Susan Crichton,9
Lesley Sewell,Ron,1
Lesley Sewell,Alwyn Lyon,1
Lesley Sewell,Mark Davies,2
Lesley Sewell,Martin Edwards,1
Lesley Sewell,Sue,1
Lesley Sewell,Horizon,2
Lesley Sewell,Post Office,2
Lesley Sewell,Horizon Online,1
Lesley Sewell,Mrs Misra's,1
Lesley Sewell,Mrs Misra,1
Lesley Sewell,Fujitsu,1
Lesley Sewell,Mark Davis,2
Lesley Sewell,CCRC,1
Simon Baker,Susan Crichton,3
Simon Baker,Alice Perkins,1
Simon Baker,Alwen Lyons,3
Simon Baker,David Oliver,1
Simon Baker,Wynne,1
Susan Crichton,Ron,1
